,fighter1,fighter2,winner,weight_class,title_fight,method,end_round,figth_year,attended,fight_coutry,win_fighter1,lose_fighter1,draw_fighter1,nc_fighter1,height_fighter1,reach_fighter1,stance_fighter1,SLpM_fighter1,Str_Acc_fighter1,SApM_fighter1,Str_Def_fighter1,TD_Avg_fighter1,TD_Acc_fighter1,TD_Def_fighter1,Sub_Avg_fighter1,win%_fighter1,born_year_fighter1,win_fighter2,lose_fighter2,draw_fighter2,nc_fighter2,height_fighter2,reach_fighter2,stance_fighter2,SLpM_fighter2,Str_Acc_fighter2,SApM_fighter2,Str_Def_fighter2,TD_Avg_fighter2,TD_Acc_fighter2,TD_Def_fighter2,Sub_Avg_fighter2,win%_fighter2,born_year_fighter2
10,Devin Powell,Jesus Pinedo,0,Lightweight,f,DEC,3,2018,10245.0, Argentina,9,4,0,0,"6' 0""","73""",Orthodox,2.88,41.0,3.67,51.0,0.0,0.0,0.0,0.6,69.23077,1988,16,4,1,0,"5' 10""",,,4.0,42.0,3.87,58.0,5.0,100.0,100.0,0.0,76.190475,1996
11,Nad Narimani,Anderson Dos Santos,1,Featherweight,f,DEC,3,2018,10245.0, Argentina,12,2,0,0,"5' 8""","70""",Orthodox,4.3,50.0,2.6,65.0,3.5,43.0,100.0,0.0,85.71429,1987,20,7,0,0,"5' 7""","67""",Orthodox,3.07,27.0,5.6,54.0,0.0,0.0,80.0,1.0,74.07407,1985
12,Rogerio Nogueira,Ryan Bader,0,Light Heavyweight,f,KO/TKO,3,2016,9028.0, Brazil,23,8,0,0,"6' 2""","75""",Southpaw,2.39,34.0,2.24,60.0,0.68,44.0,63.0,0.8,74.19355,1976,23,5,0,0,"6' 2""","74""",Orthodox,2.82,43.0,1.39,71.0,3.37,44.0,80.0,0.4,82.14286,1983
13,Albert Morales,Thomas Almeida,0,Bantamweight,f,KO/TKO,2,2016,9028.0, Brazil,7,4,1,0,"5' 9""","72""",Orthodox,3.81,35.0,3.96,56.0,0.91,35.0,70.0,0.2,58.333332,1991,22,3,0,0,"5' 7""","70""",Southpaw,5.66,45.0,4.65,64.0,0.0,0.0,75.0,0.0,88.0,1991
14,Claudia Gadelha,Cortney Casey,1,Women's Strawweight,f,DEC,3,2016,9028.0, Brazil,16,3,0,0,"5' 4""","63""",Orthodox,3.23,42.0,4.47,57.0,3.94,52.0,58.0,1.0,84.210526,1988,8,6,0,0,"5' 7""","67""",Orthodox,4.8,38.0,4.63,52.0,0.4,30.0,24.0,0.5,57.142857,1987
15,Thales Leites,Krzysztof Jotko,0,Middleweight,f,DEC,3,2016,9028.0, Brazil,28,9,0,0,"6' 1""","78""",Orthodox,2.13,40.0,2.99,52.0,2.1,27.0,30.0,1.1,75.675674,1981,19,4,0,0,"6' 1""","77""",Southpaw,2.86,44.0,1.89,59.0,1.12,37.0,87.0,0.1,82.608696,1989
16,Kamaru Usman,Warlley Alves,1,Welterweight,f,DEC,3,2016,9028.0, Brazil,13,1,0,0,"6' 0""","76""",Switch,3.64,48.0,1.46,63.0,3.85,47.0,100.0,0.3,92.85714,1987,13,3,0,0,"5' 11""","72""",Orthodox,2.88,46.0,4.09,49.0,1.22,44.0,80.0,0.9,81.25,1991
17,Sergio Moraes,Zak Ottow,1,Welterweight,f,DEC,3,2016,9028.0, Brazil,14,4,1,0,"6' 0""","72""",Orthodox,2.61,45.0,3.26,62.0,1.14,34.0,75.0,0.6,73.68421,1982,16,6,0,0,"5' 11""","72""",Orthodox,3.05,39.0,2.74,56.0,0.77,30.0,61.0,0.5,72.72727,1986
18,Cezar Ferreira,Jack Hermansson,1,Middleweight,f,SUB,2,2016,9028.0, Brazil,14,7,0,0,"6' 1""","78""",Southpaw,1.83,42.0,2.14,55.0,2.97,59.0,90.0,0.5,66.666664,1985,17,4,0,0,"6' 1""","77""",Orthodox,4.49,54.0,1.93,63.0,1.99,46.0,69.0,0.3,80.95238,1988
19,Marcos Rogerio de Lima,Gadzhimurad Antigulov,0,Light Heavyweight,f,SUB,1,2016,9028.0, Brazil,16,6,1,0,"6' 1""","75""",Orthodox,3.57,51.0,2.99,53.0,0.9,60.0,40.0,0.9,69.565216,1985,20,5,0,0,"5' 11""","70""",Orthodox,1.78,53.0,5.45,21.0,9.51,50.0,0.0,3.8,80.0,1987
20,Manvel Gamburyan,Johnny Eduardo,0,Bantamweight,f,KO/TKO,2,2016,9028.0, Brazil,18,11,0,1,"5' 5""","67""",Orthodox,2.13,41.0,2.83,55.0,3.26,34.0,69.0,0.7,60.0,1981,28,12,0,0,"5' 7""","71""",Orthodox,2.89,38.0,3.34,63.0,0.0,0.0,62.0,0.5,70.0,1978
21,Luis Henrique,Christian Colombo,1,Heavyweight,f,SUB,3,2016,9028.0, Brazil,10,5,0,1,"6' 2""","74""",Orthodox,1.81,43.0,2.22,47.0,3.09,36.0,50.0,1.0,62.5,1993,8,3,1,0,"6' 5""","80""",Orthodox,2.76,44.0,4.02,42.0,0.0,0.0,33.0,0.0,66.666664,1980
22,Pedro Munhoz,Justin Scoggins,1,Bantamweight,f,SUB,2,2016,9028.0, Brazil,16,3,0,1,"5' 6""","64""",Orthodox,4.79,41.0,5.34,58.0,1.15,21.0,71.0,1.3,80.0,1986,11,5,0,0,"5' 7""","66""",Southpaw,3.56,51.0,2.16,55.0,3.42,63.0,82.0,0.5,68.75,1992
23,Uriah Hall,Gegard Mousasi,0,Middleweight,f,KO/TKO,1,2016,7222.0, United Kingdom,14,9,0,0,"6' 0""","79""",Orthodox,3.44,52.0,3.61,52.0,0.93,38.0,71.0,0.3,60.869564,1984,42,6,2,0,"6' 2""","76""",Orthodox,3.75,50.0,1.21,68.0,1.59,60.0,59.0,1.1,84.0,1985
24,Ross Pearson,Stevie Ray,0,Lightweight,f,DEC,3,2016,7222.0, United Kingdom,22,15,0,1,"5' 8""","69""",Orthodox,3.67,40.0,4.04,62.0,0.75,36.0,75.0,0.0,57.894737,1984,22,8,0,0,"5' 10""","70""",Southpaw,3.51,45.0,2.55,55.0,0.73,55.0,55.0,0.7,73.333336,1990
25,Alexander Volkov,Tim Johnson,1,Heavyweight,f,DEC,3,2016,7222.0, United Kingdom,30,7,0,0,"6' 7""","80""",Orthodox,5.31,60.0,2.39,56.0,0.86,75.0,75.0,0.3,81.08108,1988,12,4,0,0,"6' 3""","77""",Southpaw,3.43,45.0,3.08,44.0,1.09,24.0,69.0,0.0,75.0,1985
26,Teruto Ishihara,Artem Lobov,0,Featherweight,f,DEC,3,2016,7222.0, United Kingdom,11,6,2,0,"5' 7""","69""",Southpaw,3.21,45.0,3.5,53.0,0.52,16.0,32.0,0.0,57.894737,1991,14,15,1,1,"5' 9""","65""",Southpaw,3.52,41.0,4.82,50.0,0.39,25.0,52.0,0.0,45.16129,1986
27,Jack Marshman,Magnus Cedenblad,1,Middleweight,f,KO/TKO,2,2016,7222.0, United Kingdom,22,8,0,0,"6' 0""","73""",Orthodox,2.87,31.0,3.78,56.0,0.0,0.0,22.0,0.0,73.333336,1989,14,5,0,0,"6' 5""","79""",Orthodox,2.38,51.0,3.02,40.0,2.87,64.0,66.0,1.0,73.68421,1982
28,Kyoji Horiguchi,Ali Bagautinov,1,Flyweight,f,DEC,3,2016,7222.0, United Kingdom,18,2,0,0,"5' 5""","66""",Orthodox,3.6,45.0,2.45,62.0,2.0,44.0,55.0,0.0,90.0,1990,14,5,0,0,"5' 4""","65""",Orthodox,2.85,42.0,3.09,52.0,2.51,36.0,65.0,0.3,73.68421,1985
29,Kevin Lee,Magomed Mustafaev,1,Lightweight,f,SUB,2,2016,7222.0, United Kingdom,17,3,0,0,"5' 9""","77""",Orthodox,4.06,45.0,2.96,52.0,3.33,42.0,75.0,1.1,85.0,1992,13,2,0,0,"5' 8""","71""",Orthodox,2.83,54.0,2.93,36.0,0.0,0.0,25.0,0.8,86.666664,1988
30,Amanda Cooper,Anna Elmose,1,Women's Strawweight,f,DEC,3,2016,7222.0, United Kingdom,4,5,0,0,"5' 3""","64""",Switch,3.55,44.0,3.2,51.0,1.53,38.0,28.0,1.8,44.444443,1991,3,2,0,0,"5' 3""","65""",Orthodox,3.68,49.0,4.64,56.0,0.0,0.0,33.0,0.0,60.0,1984
31,Mark Godbeer,Justin Ledet,0,Heavyweight,f,SUB,1,2016,7222.0, United Kingdom,13,4,0,0,"6' 4""","77""",Orthodox,3.97,53.0,3.3,54.0,0.0,0.0,28.0,0.0,76.47059,1983,9,1,0,1,"6' 4""","80""",Orthodox,3.47,41.0,4.34,49.0,0.32,50.0,40.0,0.3,81.818184,1988
32,Zak Cummings,Alexander Yakovlev,1,Welterweight,f,SUB,2,2016,7222.0, United Kingdom,21,6,0,0,"6' 0""","75""",Southpaw,2.49,30.0,2.86,52.0,1.09,38.0,66.0,0.9,77.77778,1984,23,8,1,0,"6' 3""","74""",Southpaw,1.89,46.0,2.73,56.0,1.23,30.0,72.0,0.0,71.875,1984
33,Marion Reneau,Milana Dudieva,1,Women's Bantamweight,f,KO/TKO,3,2016,7222.0, United Kingdom,9,4,1,0,"5' 6""","68""",Orthodox,3.41,41.0,2.45,67.0,0.26,100.0,52.0,1.2,64.28571,1977,11,5,0,0,"5' 3""","61""",Orthodox,0.87,31.0,3.43,58.0,2.34,45.0,0.0,0.0,68.75,1989
34,Kwan Ho Kwak,Brett Johns,0,Bantamweight,f,DEC,3,2016,7222.0, United Kingdom,9,2,0,0,"5' 5""","70""",Switch,3.29,41.0,3.45,47.0,0.78,100.0,26.0,0.0,81.818184,1989,15,2,0,0,"5' 7""","71""",Orthodox,3.41,45.0,4.74,55.0,3.72,48.0,78.0,0.5,88.23529,1992
35,Abdul Razak Alhassan,Charlie Ward,1,Welterweight,f,KO/TKO,1,2016,7222.0, United Kingdom,10,1,0,0,"5' 10""","73""",Orthodox,4.59,46.0,4.2,59.0,0.57,33.0,53.0,0.0,90.90909,1985,3,3,0,0,"5' 11""","73""",Orthodox,1.64,19.0,7.21,53.0,0.0,0.0,0.0,0.0,50.0,1980
36,Michael Johnson,Justin Gaethje,0,Lightweight,f,KO/TKO,2,2017,6308.0, USA,20,13,0,0,"5' 10""","73""",Southpaw,4.31,38.0,3.96,58.0,0.59,45.0,77.0,0.1,60.60606,1986,19,2,0,0,"5' 11""","70""",Orthodox,8.53,54.0,10.54,53.0,0.0,0.0,80.0,0.0,90.47619,1988
37,Kenny Florian,Alex Karalexis,1,Welterweight,f,KO/TKO,2,2005,2956.0, USA,14,6,0,0,"5' 10""","74""",Southpaw,2.41,40.0,1.85,63.0,2.22,33.0,60.0,1.3,70.0,1976,10,6,0,0,"5' 8""","66""",Orthodox,2.39,38.0,2.37,57.0,2.64,42.0,86.0,1.1,62.5,1977
38,Jesse Taylor,Dhiego Lima,1,Welterweight,t,SUB,2,2017,6308.0, USA,33,15,0,0,"6' 0""","73""",Orthodox,1.94,65.0,0.55,38.0,7.28,50.0,100.0,3.1,68.75,1983,14,7,0,0,"6' 2""","74""",Orthodox,2.54,47.0,2.88,50.0,2.22,66.0,50.0,1.5,66.666664,1989
39,Drakkar Klose,Marc Diakiese,1,Lightweight,f,DEC,3,2017,6308.0, USA,9,1,1,0,"5' 9""","70""",Orthodox,3.35,51.0,2.63,63.0,2.0,40.0,69.0,0.0,81.818184,1988,12,3,0,0,"5' 10""","73""",Orthodox,2.6,32.0,2.9,54.0,2.05,31.0,61.0,0.0,80.0,1993
40,Nick Roehrick,Jared Cannonier,0,Light Heavyweight,f,KO/TKO,3,2017,6308.0, USA,7,1,0,0,"6' 2""","75""",Orthodox,2.31,17.0,6.92,44.0,0.0,0.0,0.0,0.0,87.5,1987,11,4,0,0,"5' 11""","77""",Switch,3.63,50.0,2.83,67.0,0.21,33.0,44.0,0.0,73.333336,1984
41,Brad Tavares,Elias Theodorou,1,Middleweight,f,DEC,3,2017,6308.0, USA,17,6,0,0,"6' 1""","74""",Orthodox,3.02,40.0,2.73,55.0,1.04,27.0,77.0,0.0,73.91304,1987,16,2,0,0,"6' 1""","75""",Orthodox,3.93,42.0,1.99,55.0,1.58,30.0,58.0,0.0,88.888885,1988
42,Marcel Fortuna,Jordan Johnson,0,Light Heavyweight,f,DEC,3,2017,6308.0, USA,9,3,0,0,"6' 1""","74""",Orthodox,3.83,46.0,4.52,64.0,0.45,8.0,75.0,0.5,75.0,1985,10,0,0,0,"6' 2""","79""",Orthodox,3.45,47.0,2.64,53.0,3.25,42.0,100.0,1.2,100.0,1988
43,Angela Hill,Ashley Yoder,1,Women's Strawweight,f,DEC,3,2017,6308.0, USA,8,5,0,0,"5' 3""","64""",Orthodox,5.79,51.0,5.39,63.0,0.42,60.0,74.0,0.0,61.53846,1985,6,4,0,0,"5' 7""","69""",Southpaw,2.67,35.0,3.65,51.0,1.25,50.0,64.0,0.8,60.0,1987
44,James Krause,Tom Gallicchio,1,Welterweight,f,DEC,3,2017,6308.0, USA,25,8,0,0,"6' 2""","73""",Orthodox,4.57,46.0,4.15,61.0,1.18,18.0,46.0,0.7,75.757576,1986,19,11,0,0,"5' 10""","73""",Southpaw,3.53,26.0,7.07,43.0,1.0,11.0,0.0,0.0,63.333332,1986
45,Ed Herman,CB Dollaway,0,Light Heavyweight,f,DEC,3,2017,6308.0, USA,24,14,0,1,"6' 1""","77""",Orthodox,3.18,49.0,3.05,44.0,2.41,51.0,60.0,1.3,61.53846,1980,18,10,0,0,"6' 2""","76""",Orthodox,2.65,47.0,2.58,54.0,3.55,54.0,62.0,1.2,64.28571,1983
46,Juliana Lima,Tecia Torres,0,Women's Strawweight,f,SUB,2,2017,6308.0, USA,9,5,0,0,"5' 5""","65""",Orthodox,1.94,44.0,2.11,55.0,1.72,31.0,70.0,0.0,64.28571,1982,10,3,0,0,"5' 1""","60""",Orthodox,4.44,48.0,3.11,65.0,0.83,17.0,42.0,0.1,76.92308,1989
47,Teruto Ishihara,Gray Maynard,0,Featherweight,f,DEC,3,2017,6308.0, USA,11,6,2,0,"5' 7""","69""",Southpaw,3.21,45.0,3.5,53.0,0.52,16.0,32.0,0.0,57.894737,1991,14,8,1,1,"5' 9""","70""",Orthodox,1.92,32.0,2.64,66.0,2.91,47.0,81.0,0.7,58.333332,1979
48,Robert Whittaker,Yoel Romero,1,Middleweight,t,DEC,5,2017,12834.0, USA,21,4,0,0,"6' 0""","73""",Orthodox,4.82,40.0,3.65,61.0,0.37,57.0,84.0,0.0,84.0,1990,13,3,0,0,"6' 0""","73""",Southpaw,3.28,50.0,2.77,63.0,1.86,32.0,78.0,0.0,81.25,1977
49,Alistair Overeem,Fabricio Werdum,1,Heavyweight,f,DEC,3,2017,12834.0, USA,43,17,0,1,"6' 4""","80""",Orthodox,3.53,61.0,1.93,61.0,1.39,62.0,72.0,1.0,70.491806,1980,23,8,1,0,"6' 4""","77""",Orthodox,3.61,51.0,2.45,56.0,1.65,30.0,31.0,1.1,71.875,1977
50,Curtis Blaydes,Daniel Omielanczuk,1,Heavyweight,f,DEC,3,2017,12834.0, USA,10,1,0,1,"6' 4""","80""",Orthodox,4.2,50.0,2.26,56.0,6.82,57.0,25.0,0.0,83.333336,1991,19,8,1,1,"6' 0""","74""",Southpaw,3.09,57.0,3.29,47.0,0.56,26.0,68.0,0.1,65.51724,1982
51,Jim Miller,Anthony Pettis,0,Lightweight,f,DEC,3,2017,12834.0, USA,29,12,0,1,"5' 8""","71""",Southpaw,2.79,40.0,2.89,59.0,1.7,41.0,47.0,1.9,69.04762,1983,21,8,0,0,"5' 10""","72""",Orthodox,2.85,45.0,3.16,54.0,0.76,54.0,58.0,1.3,72.413795,1987
52,Rob Font,Douglas Silva de Andrade,1,Bantamweight,f,SUB,2,2017,12834.0, USA,15,4,0,0,"5' 8""","71""",Orthodox,4.38,39.0,3.69,63.0,1.13,29.0,25.0,0.9,78.947365,1987,25,2,0,1,"5' 7""","68""",Orthodox,3.92,36.0,4.08,61.0,0.89,57.0,68.0,0.0,89.28571,1985
53,Travis Browne,Aleksei Oleinik,0,Heavyweight,f,SUB,2,2017,12834.0, USA,18,7,1,0,"6' 6""","79""",Orthodox,2.93,41.0,4.31,42.0,1.21,68.0,75.0,0.2,69.23077,1982,54,11,1,0,"6' 2""","80""",Orthodox,3.06,48.0,3.28,53.0,2.99,39.0,11.0,2.7,81.818184,1977
54,Chad Laprise,Brian Camozzi,1,Welterweight,f,KO/TKO,3,2017,12834.0, USA,14,3,0,0,"5' 10""","71""",Orthodox,4.77,42.0,3.6,64.0,1.07,54.0,78.0,0.0,82.35294,1986,7,5,0,0,"6' 2""","78""",Orthodox,3.15,26.0,6.39,54.0,0.0,0.0,0.0,0.7,58.333332,1991
55,Thiago Santos,Gerald Meerschaert,1,Middleweight,f,KO/TKO,2,2017,12834.0, USA,19,6,0,0,"6' 0""","76""",Orthodox,4.89,50.0,2.04,62.0,0.87,37.0,65.0,0.1,76.0,1984,28,9,0,0,"6' 1""","77""",Southpaw,3.96,46.0,3.59,52.0,3.0,42.0,50.0,2.0,75.675674,1987
56,Jordan Mein,Belal Muhammad,0,Welterweight,f,DEC,3,2017,12834.0, USA,31,12,0,0,"6' 0""","73""",Orthodox,3.35,44.0,2.55,69.0,1.56,58.0,66.0,0.2,72.093025,1989,14,2,0,0,"5' 11""","72""",Orthodox,4.63,43.0,3.94,60.0,2.48,39.0,90.0,0.2,87.5,1988
57,Cody Stamann,Terrion Ware,1,Featherweight,f,DEC,3,2017,12834.0, USA,17,2,0,0,"5' 6""","64""",Orthodox,4.97,49.0,3.45,62.0,4.19,71.0,88.0,0.0,89.47369,1989,17,9,0,0,"5' 8""","71""",Orthodox,4.02,32.0,6.07,50.0,0.5,22.0,44.0,0.0,65.38461,1986
58,James Bochnovic,Trevin Giles,0,Light Heavyweight,f,KO/TKO,2,2017,12834.0, USA,8,3,0,0,"6' 4""","81""",Orthodox,0.65,26.0,3.64,21.0,0.0,0.0,0.0,0.0,72.72727,1989,11,0,0,0,"6' 0""","74""",Orthodox,5.45,66.0,1.13,76.0,3.69,100.0,66.0,0.0,100.0,1992
59,Santiago Ponzinibbio,Gunnar Nelson,1,Welterweight,f,KO/TKO,1,2017,, United Kingdom,28,3,0,0,"6' 0""","73""",Orthodox,4.27,39.0,4.02,64.0,0.54,44.0,60.0,0.0,90.32258,1986,16,3,1,0,"5' 11""","72""",Switch,2.01,56.0,3.7,51.0,1.64,62.0,70.0,1.1,80.0,1988
60,Joanne Calderwood,Cynthia Calvillo,0,Women's Strawweight,f,DEC,3,2017,, United Kingdom,12,3,0,0,"5' 6""","65""",,5.9,50.0,4.27,44.0,1.74,57.0,58.0,0.4,80.0,1985,7,1,0,0,"5' 4""","64""",Orthodox,3.41,38.0,3.1,66.0,2.02,53.0,69.0,2.6,87.5,1987
61,Paul Felder,Stevie Ray,1,Lightweight,f,KO/TKO,1,2017,, United Kingdom,15,4,0,0,"5' 11""","70""",Orthodox,3.52,43.0,2.96,51.0,0.36,33.0,59.0,0.4,78.947365,1984,22,8,0,0,"5' 10""","70""",Southpaw,3.51,45.0,2.55,55.0,0.73,55.0,55.0,0.7,73.333336,1990
62,Ryan Janes,Jack Marshman,0,Middleweight,f,DEC,3,2017,, United Kingdom,10,3,0,0,"6' 3""","76""",Orthodox,7.69,48.0,5.53,59.0,0.35,100.0,58.0,0.0,76.92308,1981,22,8,0,0,"6' 0""","73""",Orthodox,2.87,31.0,3.78,56.0,0.0,0.0,22.0,0.0,73.333336,1989
63,Khalil Rountree Jr.,Paul Craig,1,Light Heavyweight,f,KO/TKO,1,2017,, United Kingdom,8,2,0,2,"6' 1""","76""",Southpaw,2.3,34.0,3.29,38.0,0.0,0.0,50.0,0.3,66.666664,1990,10,2,0,0,"6' 3""","76""",Orthodox,2.51,51.0,3.64,44.0,1.45,23.0,66.0,1.9,83.333336,1987
64,Justin Willis,James Mulheron,1,Heavyweight,f,DEC,3,2017,, United Kingdom,7,1,0,0,"6' 1""","78""",Southpaw,4.61,61.0,3.69,58.0,1.84,66.0,0.0,0.0,87.5,1987,11,2,0,0,"5' 10""","73""",Orthodox,2.4,31.0,3.47,42.0,0.0,0.0,25.0,0.0,84.61539,1988
65,Danny Roberts,Bobby Nash,1,Welterweight,f,KO/TKO,2,2017,, United Kingdom,16,3,0,0,"6' 1""","74""",Southpaw,3.71,41.0,3.44,55.0,0.0,0.0,57.0,0.5,84.210526,1987,8,4,0,0,"6' 0""","74""",Orthodox,3.42,37.0,3.95,51.0,2.37,33.0,100.0,1.6,66.666664,1990
66,Alexandre Pantoja,Neil Seery,1,Flyweight,f,SUB,3,2017,, United Kingdom,20,3,0,0,"5' 5""","67""",Orthodox,4.31,46.0,3.38,59.0,0.75,50.0,60.0,1.8,86.95652,1990,16,13,0,0,"5' 4""","64""",Orthodox,3.56,41.0,3.79,58.0,0.78,27.0,53.0,1.6,55.172413,1979
67,Charlie Ward,Galore Bofando,0,Welterweight,f,KO/TKO,1,2017,, United Kingdom,3,3,0,0,"5' 11""","73""",Orthodox,1.64,19.0,7.21,53.0,0.0,0.0,0.0,0.0,50.0,1980,5,3,0,0,"5' 11""","72""",Switch,3.63,45.0,3.63,54.0,2.37,100.0,50.0,0.0,62.5,1982
68,Daniel Teymur,Danny Henry,0,Lightweight,f,DEC,3,2017,, United Kingdom,6,2,0,0,"5' 5""","69""",Orthodox,3.8,45.0,5.59,55.0,0.0,0.0,75.0,0.0,75.0,1988,12,2,0,0,"6' 0""","73""",Orthodox,6.07,53.0,4.6,45.0,0.96,33.0,100.0,2.9,85.71429,1988
69,Albert Morales,Brett Johns,0,Bantamweight,f,DEC,3,2017,, United Kingdom,7,4,1,0,"5' 9""","72""",Orthodox,3.81,35.0,3.96,56.0,0.91,35.0,70.0,0.2,58.333332,1991,15,2,0,0,"5' 7""","71""",Orthodox,3.41,45.0,4.74,55.0,3.72,48.0,78.0,0.5,88.23529,1992
70,Amanda Lemos,Leslie Smith,0,Women's Bantamweight,f,KO/TKO,2,2017,, United Kingdom,6,1,1,0,"5' 4""","65""",Southpaw,8.63,64.0,12.81,47.0,1.9,100.0,0.0,0.0,75.0,1987,10,7,1,0,"5' 9""","66""",Orthodox,7.56,40.0,8.41,51.0,0.0,0.0,62.0,0.0,55.555557,1982
71,Kelvin Gastelum,Chris Weidman,0,Middleweight,f,SUB,3,2017,11198.0, USA,16,3,0,1,"5' 9""","71""",Southpaw,3.86,43.0,2.87,61.0,0.82,50.0,62.0,0.2,80.0,1991,14,4,0,0,"6' 2""","78""",Orthodox,3.15,42.0,3.23,51.0,3.76,52.0,73.0,1.0,77.77778,1984
72,Dennis Bermudez,Darren Elkins,0,Featherweight,f,DEC,3,2017,11198.0, USA,17,9,0,0,"5' 6""","66""",Orthodox,4.44,45.0,3.2,59.0,3.8,38.0,82.0,1.0,65.38461,1986,25,7,0,0,"5' 10""","71""",Orthodox,3.36,37.0,2.83,53.0,2.68,35.0,57.0,1.3,78.125,1984
73,Gian Villante,Patrick Cummins,0,Light Heavyweight,f,DEC,3,2017,11198.0, USA,17,10,0,0,"6' 3""","76""",Orthodox,4.25,42.0,5.31,56.0,0.53,23.0,83.0,0.0,62.962963,1985,10,6,0,0,"6' 2""","76""",Orthodox,4.21,50.0,3.36,55.0,4.51,40.0,28.0,0.1,62.5,1980
